Name, Email,
Afghan Society, gogeerr@aston.ac.uk,
Afro Caribbean (Acs) Society, aston_acs@hotmail.co.uk,
Ahlul Bayt Society, ahlulbayt@union.aston.ac.uk,
Arab Society, daoudmj@aston.ac.uk,
Aston Bright Futures Society, union.brightfutures@aston.ac.uk,
Aston Medical Society, astonmedsoc@gmail.com,
Aston Trading & Investment (Atis) Society, 190034867@aston.ac.uk,
Aston Veg Soc Society, astonvegsoc@gmail.com,
Aux Radio Station Society, auxsecretary@union.aston.ac.uk,
Biological Science (Biosoc) Society, astonbiosoc@union.aston.ac.uk,
Biomedical Engineering Society, mistryg@aston.ac.uk,
Cad Society, Cadaston@gmail.com,
Chess Society, taghyoom@aston.ac.uk,
Christian Union Society, astonunicu@gmail.com,
Commuters' Society, commuterssociety@outlook.com,
Computer Science Society, compsci.society@aston.ac.uk,
Debating Society, astondebating@gmail.com,
Doctor Who Society, astonuniwhosoc@gmail.com,
Drama Society, astondramasociety@gmail.com,
Economics Society, aston.econsoc@gmail.com,
Electronics Society, electronics@union.aston.ac.uk,
Enactus Society, enactus@union.aston.ac.uk,
Engineering Society, engineering@union.aston.ac.uk,
Engineers Without Borders Society, committee.aston@ewb-uk.org,
Filipino Society, filipino@union.aston.ac.uk,
Hindu Society, astonhindusociety@hotmail.com,
Hip Hop Society, 180109652@aston.ac.uk,
Indian Society, singht7@aston.ac.uk,
Islamic Society, info@astonisoc.com,
Italian Society, Theastonitaliansociety@hotmail.com,
Japanese Anime & Manga  (Jam) Society, union.jam@aston.ac.uk
Khalistan Society, Astonksociety@gmail.com,
Korean Society, union.korean@aston.ac.uk,
Krishna Conciousness Society, astonkcsoc@gmail.com,
Labour Society, 170220721@aston.ac.uk,
Law Society, law@union.aston.ac.uk,
Lgbt+ Society, union.lgbt@aston.ac.uk,
Life Skills Booster Society, isherwoe@aston.ac.uk,
Links First Aid (St John Ambulance) Society, dixonimr@aston.ac.uk,
Marketing Society, astonmarketingsociety@gmail.com,
Mathletes Society, mathletes@union.aston.ac.uk,
Mature Students Society, thanvib@aston.ac.uk,
Music Society, music_society@aston.ac.uk,
Neuroscience Society, neuroscience@union.aston.ac.uk,
Optics Society, astonoptometry@gmail.com,
Pakistani Society, astonpaksoc@hotmail.com,
Palestine Society, astonpalsoc@hotmail.com,
Photography Society, astonphosoc@gmail.com,
Pokemon Go Society, astonpgs@gmail.com,
Pro Bono Society, astonprobonosociety@gmail.com,
Psychology Society, union.psychology@aston.ac.uk,
Pukhtoon Society, 190161347@aston.ac.uk,
Punjabi Society, astonpunjabisoc@gmail.com,
Radical Youth Society, radicalyouthaston@yahoo.co.uk,
Rag Society, union.rago@union.aston.ac.uk,
Rock Society, union.rocksoc@aston.ac.uk,
Rubik'S Cube Society, maliku@aston.ac.uk,
Russian Speaking Society, astonrussianspeakingsociety@gmail.com,
Sign Language Society, astonsignsoc@hotmail.com,
Sikh Society, astonsikhs14@hotmail.com,
Student Minds Society, union.studentminds@Aston.ac.uk,
Sudanese Society, astonsudanesesociety@outlook.com,
Tedx Aston University Society, info@tedxastonuniversity.com,
Transport Society, 190107471@aston.ac.uk,
West Society, WEST@aston.ac.uk,
Women In Business Society, union.womeninbusiness@aston.ac.uk,
