Name, Email
Abacus Society, brunelabacus@gmail.com
Acs Society, brunel.acs.media@gmail.com
Afghan Society, brunel.afghansociety@outlook.com
Ahlulbayt Society, brunelahlulbayt313@gmail.com
Anime Society, anime.brunel@gmail.com
Arab Society, brunelarabsoc@gmail.com
Astronomy Society, BrunelAstronomySoc@gmail.com
Bangladeshi Society, brunelbangladeshisociety@gmail.com
Bees @ Society, rebecca.davies@brunel.ac.uk
Believers Love World Society, Blwbrunel@gmail.com
Bhangra Society, brunelbhangrasoc@gmail.com
Bio Sciences Society, brunelbiosciencesoc@outlook.com
Bright Futures Society, bbfs102018@gmail.com
Film Society, brunelfilm@gmail.com
Improv Society, brunelimprovsociety@gmail.com
Links First Aid Society, brunel@sja.org.uk
Polish Society, brunelpolishsoc@gmail.com
Business Society, brunelbusinesssociety@gmail.com
Business Simulator Society, brunelbusinesssimulator@gmail.com
Card Society, cardsociety.brunel@hotmail.com
Catholic Society, brunelcathsoc@gmail.com
Chess Society, 1719630@brunel.ac.uk
Chinese Christian Fellowship Society, brunelbccf@gmail.com
Chinese Students & Scholars Association Society, cssa.greatwall.brunel@gmail.com
Christian Union Society, brunelcu@gmail.com
Civil Engineering Society, Civil.Brunel@gmail.com
Conservative Society, brunelconservativesociety@gmail.com
Creative Photography Society, 1945326@brunel.ac.uk
Cult Film Society, Brunelcultfilm@outlook.com
Debate Society, bruneldebate@outlook.com
Design Society, designsocietybrunel@gmail.com
Drama Society, bruneldramasoc@outlook.com
Drum & Bass Society, Bruneldnb@gmail.com
Dungeons And Dragons Society, 1724829@brunel.ac.uk
East African Society, bruneleas@gmail.com
Electronic Engineers Society, electronicbrunel@gmail.com
Entrepreneurs Society, bruneluniversityentrepreneurs@gmail.com
Esports Society, Brunelesports@outlook.com
Filipino Society, brunel_filipinosociety@outlook.com
Film Orchestra And Choir Society, brunelfocs@gmail.com
First Love Society, Firstlovebrunel@gmail.com
Football Fan Society, footballfanbrunel@gmail.com
For The World Society, Fortheworldcs@gmail.com
Games Society, Brunelgamessc20182019@gmail.com
Green Party Society, BrunelGreenParty@gmail.com
Hellenic & Cypriot Society, grandcysociety.bruneluni@gmail.com
Hindu Society, brunelhindusoc@gmail.com
History Society, brunelhistorysociety@gmail.com
Illyrian Society, brunel_illyrian@hotmail.co.uk
Indian Society, indiansociety.brunel@gmail.com
Innovia: Women In Stem Society, innovia.brunel@gmail.com
Islamic Society, presidentbrunelisoc@gmail.com
Italian Society, brunelitaliansociety@gmail.com
K Pop Society, brunelkpopsociety@gmail.com
Kharis On Campus Society, kharisoncampus@gmail.com
Korean Society, brunelkoreansocietybks@gmail.com
Krishna Conciousness Society, b.concious@yahoo.com
Latin American Society, brunellatinamericansociety@gmail.com
Law Society, externalcommsbrunellawsoc@gmail.com
Lebanese Society, lebsoc.brunel@gmail.com
Lgbtqa+ Society, brunellgbtqasociety@gmail.com
Lupus Society, TheLupusSociety@gmail.com
Malayalee Society, brunelmallusoc@gmail.com
Malaysian Society, brunelmsiansoc@gmail.com
Marrow Society, Brunel@ukmarrow.org
Mathematics Society, 1741144@brunel.ac.uk
Matureed: Mature Student Society, Brunelmature@gmail.com
Musical Theatre Society, 1839482@brunel.ac.uk
Nepali Society, brunelnepalesesociety@hotmail.com
Nigerian Society, brunelnigeria2018@outlook.com
North African Society, BruNorthAfrica@gmail.com
Physiotherapy Society, brunelphysiosoc@gmail.com
Poker Society, bruneluniversitypokersociety@gmail.com
Politics Society, brunelpolsoc@gmail.com
Pool Society, thebestbob29@gmail.com
Portuguese Society, brunelportuguesesociety@gmail.com
Psychology Society, Brunelpsychologysociety@gmail.com
Rag Society, ragsocietybrunel@gmail.com
Record Club Society, brunelrecordclub@gmail.com
Robotic Engineering Society, BrunelRobotics@outlook.com
Rts Society, 1807011@brunel.ac.uk
Russian Speaking Society, russocbrunel@hotmail.com
Sci Fi And Fantasy Society, Contact@BrunelSciFi.com
Sikh Society, brunelsikhsoc@gmail.com
Singapore Society, brunelsingaporesociety@gmail.com
Somali Society, brunelsomsoc@gmail.com
Spanish Society, spanishsociety1@gmail.com
Spoken Word Poetry Society, brunelpoetrysoc@hotmail.com
Sri Lankan Society, buslsoc@gmail.com
Student Fellowship Society, bruneldisciples@gmail.com
Sudanese Society, brunel.sudsoc@hotmail.com
Tamil Society, bruneltsoc@outlook.com
Tech Society, bruneltechsociety@gmail.com
The Rock Foundation Society, brunelrockfoundation@gmail.com
Trading Society, 1400654@brunel.ac.uk
Turkish Society, brunelturkishsociety@gmail.com
Unmanned Aerial System Society, brunel.u.a.s@gmail.com
West Indian Society, Brunelwis@gmail.com
Wildlife And Environmental Conservation Society, bwecsociety@gmail.com
Yu-Gi-Oh Society, brunelyugioh@gmail.com
