Name, Email
Abacus (Association For British Asian And Chinese University Students), astonabacus@gmail.com
Aerial Fitness Club, aerialfitness@union.aston.ac.uk
Afro Caribbean Society (Acs), afro-caribbean.society@union.aston.ac.uk
Ahlul Bayt Society, ahlulbayt.society@union.aston.ac.uk
Alt Protein, astonaltprotein@gmail.com
Amnesty Society, astonamnesty@gmail.com
Aux Radio Station, auxsecretary@union.aston.ac.uk
Badminton Club (Hawks), badminton@union.aston.ac.uk
Bangladeshi Society, bangladeshi/bengali.society@union.aston.ac.uk
Basketball Club (Eagles), astoneaglesbasketball@gmail.com
Best Society (Built Environment Student Society), best.society.au@gmail.com
Bhangra Club, astonbhangrasociety1@gmail.com
Biological Science Society (Biosoc), biological.society@union.aston.ac.uk
Biomedical Engineering Society, Biomedical.eng.soc@gmail.com
Book Club Society, astonbookclubsociety@gmail.com
Boxing Club, 210138342@aston.ac.uk
Bright Futures Society, astonbrightfuturessociety@gmail.com
Burmese Society, Astonburmesesociety@gmail.com
Cad Society, cad.society@union.aston.ac.uk
Canon Newspaper, newspaper.society@union.aston.ac.uk
Cheerleading Club (Ravens), cheerleading.club@union.aston.ac.uk
Chemical Engineering And Applied Chemistry Society (Ceac), ceac.society@union.aston.ac.uk
Chess Society, chess.aston@gmail.com
Christian Union Society, astonunicu@gmail.com
Cocktail Society, cocktail.society@union.aston.ac.uk
Commercial Awareness Society (Aucas), 230105980@aston.ac.uk
Computer Science Society (Acss), compsci.society@union.aston.ac.uk
Cricket Club, 220005029@aston.ac.uk
Dance Club, dance.club@union.aston.ac.uk
Debate Society, astondebatingsociety@gmail.com
Desi Society, astondesisoc22@gmail.com
Dj Society (Adj), astondjsociety@gmail.com
Eastern European Society, easterneuropean@union.aston.ac.uk
Economics Society, alextaylor7240@gmail.com
Electronics Society, astonesoc@outlook.com
Enactus Society, weallwin@enactusaston.com
Endocrinology Society, astonendocrinologysoc@gmail.com
Entrepreneurs Society, astonentrepreneursclub@gmail.com
Erasmus Student Network Aston, esn.aston@esnuk.org
Fashion Society, astonfashionweek@gmail.com
Filipino Society, astonfilsoc@gmail.com
Finance Society, astontradingandinvestment@outlook.com
First Love, firstlove.society@union.aston.ac.uk
Formula Students, astonracing@aston.ac.uk
Friends Of Msf, friendsofmsf.aston@gmail.com
G.I.F.T Society (Growing In Faith And Truth, gift.society@union.aston.ac.uk
Gaming And Esports Society (Ages), gaming.society@union.aston.ac.uk
Gp Society, astongpsociety@gmail.com
Hindu Society, hindu.society@union.aston.ac.uk
Hockey Club (Unicorns), auhccommittee@gmail.com
Hong Kong Society, astonhksoc@gmail.com
Islamic Society, astonisoc@outlook.com
Italian Society, italiansociety@gmail.com
Japanese Society, astonjapanesesociety@gmail.com
Japanese Anime And Manga Society (Jam), jam.society@union.aston.ac.uk
Jewish Society (J Soc), astonjewishsociety@gmail.com
Jiu Jitsu Club, jitsu@union.aston.ac.uk
Kayak Club, astonkayakclub@gmail.com
Korean Society, korean@union.aston.ac.uk
Krishna Consciousness Society, krishnaconsciousness.society@union.aston.ac.uk
Kudo Club, astonkudosociety@gmail.com
Labour Society, astonlaboursociety@gmail.com
Law Society, law.society@union.aston.ac.uk
Lgbt+, lgbtplus.society@union.aston.ac.uk
Malayalee Society, astonmalayali@gmail.com
Marketing Society, marketingsocietyaston@gmail.com
Mathematics Society, Aston_mathematics_society@gmail.com
Medical Research Society, astonmedicalresearchsoc@gmail.com
Medical Society, astonmedicalsociety@gmail.com
Model United Nations Society, astondebating@gmail.com
Mountaineering Club, union.mountaineering@aston.ac.uk
Music Society, music_society@aston.ac.uk
Aston Navigators Society, astonbcunavs@gmail.com
Nepalese Society, astonnepsoc@gmail.com
Netball Club (Panthers), union.netball@aston.ac.uk
Oncampus Aston Group, studentadvice@oncampus.global
Optics Society, astonopticsociety@gmail.com
Paediatrics Society, astonpaediatricssociety@gmail.com
Pakistani Society, societies.union@aston.ac.uk
Palestine Society, astonpalestinesociety@protonmail.com
Pharmacy Association Society, 230044209@aston.ac.uk
Pool And Snooker Club, pool@union.aston.ac.uk
Postgraduate Research Society (Aprs), 220295479@aston.ac.uk
Pro Bono Society, probono.society@union.aston.ac.uk
Psychology Society, psychology.society@union.aston.ac.uk
Punjabi Society, astonpunjabi2@gmail.com
Radiology Society, Amsradiologysociety@gmail.com
Rag, rag.officer@union.aston.ac.uk
Redeemed Pillar Of Fire (Rpf), rpfbirmingham@gmail.com
Rock Society, rock.society@union.aston.ac.uk
Rugby Union Club, womensrugby@union.aston.ac.uk
Running Club (Gazelles), running@union.aston.ac.uk
Russian Speaking Society, astonrussianspeakingsociety@gmail.com
Snow Club, snow.club@union.aston.ac.uk
Strive Society, 220342809@aston.ac.uk
Aston Surgical Society, astonsurgicalsociety@gmail.com
Swimming And Waterpolo Club (Bears), astonuniswp@gmail.com
Table Tennis Club, union.tabletennis@aston.ac.uk
Taekwondo Club, Astontkd@outlook.com
Tamil Society, tamil.society@union.aston.ac.uk
Tedx Aston University, info@tedxastonuniversity.com
The Green - Community Residents Association, thegreen@aston.ac.uk
Transport Society, transport.society@union.aston.ac.uk
Trauma And Orthopaedics, AstonTOSoc@outlook.com
Turkish Society, astonturkishsociety@gmail.com
Vietnamese Society, astonvietsoc@gmail.com
Volleyball Club (Phoenixes), volleyball.club@union.aston.ac.uk
West Society, west.society@union.aston.ac.uk
