Name, Email
A Cappella, acappella@guild.bham.ac.uk
Abacus, abacus@guild.bham.ac.uk
Accounting, accounting@guild.bham.ac.uk
Adventist, adventist@guild.bham.ac.uk
Afghan, afghan@guild.bham.ac.uk
African And Caribbean, acsbham@yahoo.co.uk
African Business, africanbusiness@guild.bham.ac.uk
African Development Forum, adf@guild.bham.ac.uk
Afro-Dance, africandance@guild.bham.ac.uk
Afropology, afropology@guild.bham.ac.uk
Agape, agape@guild.bham.ac.uk
Ahlul Bayt, ahlulbayt@guild.bham.ac.uk
Ahmadiyya Muslim, ahmadiyya@guild.bham.ac.uk
Aiesec, aiesec@guild.bham.ac.uk
Airsoft And Paintball, UBAPS@guild.bham.ac.uk
Amnesty International, amnesty@guild.bham.ac.uk
Animal Welfare, animalwelfare@guild.bham.ac.uk
Anime And Manga, anime@guild.bham.ac.uk
Arab, arabsoc@guild.bham.ac.uk
Archaeology, archaeology@guild.bham.ac.uk
Art, birminghamartsoc@googlemail.com
Article 19, article19@guild.bham.ac.uk
Asean, asean@guild.bham.ac.uk
Aspiring Solicitors, aspiringsolicitorsuob@gmail.com
Assassin’S Guild, assassinsguild@guild.bham.ac.uk
Astrosoc, astrosoc@guild.bham.ac.uk
Atheists Secular And Humanist, atheist@guild.bham.ac.uk
Autism Society, autism@guild.bham.ac.uk
Azerbaijani, azerbaijani@guild.bham.ac.uk
Bacas, bacas@guild.bham.ac.uk
Bad Film, badfilm@guild.bham.ac.uk
Baking, baking@guild.bham.ac.uk
Balads, ballroom@guild.bham.ac.uk
Battle Re-Enactment, batsoc@guild.bham.ac.uk
Beat, beat@guild.bham.ac.uk
Bedsoc, bedsoc@guild.bham.ac.uk
Bekind, bekind@guild.bham.ac.uk
Bellsoc, changeringers@guild.bham.ac.uk
Bema, bema@guild.bham.ac.uk
Benchball, benchball@guild.bham.ac.uk
Benelux, benelux@guild.bham.ac.uk
Bengali, bengali@guild.bham.ac.uk
Beyond My Ethnicity, beyondmyethnicity@guild.bham.ac.uk
Bhangra, bhangra@guild.bham.ac.uk
Bharat Parivar, bharatparivar@guild.bham.ac.uk
Biosoc, biosoc@guild.bham.ac.uk
Birmingham Students For Choice, studentsforchoice@guild.bham.ac.uk
Birmingham Students For Life, studentsforlife@guild.bham.ac.uk
Bloodsoc, bloodsoc@guild.bham.ac.uk
Bodybuilding, bodybuilding@guild.bham.ac.uk
Book Group, book@guild.bham.ac.uk
Bootcamp, bootcamp@guild.bham.ac.uk
Bowling, bowling@guild.bham.ac.uk
Break Dancing, breaksoc@guild.bham.ac.uk
Breast Cancer Awareness, breastcancer@guild.bham.ac.uk
Bright Futures, brightfutures@guild.bham.ac.uk
British Red Cross On Campus, redcross@guild.bham.ac.uk
Brum Dine With Me, brumdine@guild.bham.ac.uk
Brumscape, brumscape@guild.bham.ac.uk
Brumski And Board, brumski@guild.bham.ac.uk
Brumsurf, brumsurf@guild.bham.ac.uk
Buddhist, buddhist@guild.bham.ac.uk
Buddy A Granny, buddy@guild.bham.ac.uk
Buds, buds@guild.bham.ac.uk
Bulgarian, bulgarian@guild.bham.ac.uk
Burn Fm.Com, stationmanager@burnfm.com
Business, business@guild.bham.ac.uk
Calligraphy, calligraphy@guild.bham.ac.uk
Cameroon Catalyst, cameroon@guild.bham.ac.uk
Canadian Society, canadian@guild.bham.ac.uk
Caribbean Union, tcu@guild.bham.ac.uk
Carnival Rag, info@carnivalrag.com
Catholic, cathsoc@guild.bham.ac.uk
Chasing Zero, chasingzero@guild.bham.ac.uk
Chess, chess-club@guild.bham.ac.uk
Child.Org, child.org@guild.bham.ac.uk
Chinese, chinese-soc@guild.bham.ac.uk
Chinese Christians, chinesechristians@guild.bham.ac.uk
Christians In Science, cis@guild.bham.ac.uk
Churchcentral, churchcentral@guild.bham.ac.uk
Circus, circus@guild.bham.ac.uk
Citizenaid, citizen@guild.bham.ac.uk
Civil Engineering, civsoc@guild.bham.ac.uk
Cocktail, cocktail@guild.bham.ac.uk
Cognitive Science, cognitivescience@guild.bham.ac.uk
Commercial Awareness, commercialawareness@guild.bham.ac.uk
Common Stance, commonstance@guild.bham.ac.uk
Community Challenge, communitychallenge@guild.bham.ac.uk
Commuter Students Association, homestu@guild.bham.ac.uk
Computer And Videogames, cvgsoc@guild.bham.ac.uk
Conservation Volunteers, bucv@guild.bham.ac.uk
Conservatives, conservatives@guild.bham.ac.uk
Consulting, consulting@guild.bham.ac.uk
Craft, craft@guild.bham.ac.uk
Criminology, criminology@guild.bham.ac.uk
Croquet, croquet@guild.bham.ac.uk
Cryptocurrency And Fintech, cryptocurrency@guild.bham.ac.uk
Css, cssoc@cs.bham.ac.uk
Czech And Slovak, czesvk@guild.bham.ac.uk
Damsa, disability@guild.bham.ac.uk
