Name, Email
80000 Hours: Cambridge [80Kcam], cambridge@80000hours.org
Cambridge Advertising And Marketing Society [Camsoc], presidents@camsoc.org
All Year Icebreaker Events: All Year Icebreakers: Cambridge Safer Spaces Waterfighting And Sheila And Her Dog Chainwriting, sheila@srcf.ucam.org
Cambridge University Astronomical Society [Cuas], ocn22@cam.ac.uk
Cambridge University Bangla Society [Banglasoc], cubanglasoc@gmail.com
Cambridge University Basketball Club [Cubbc], basketball@cusu.cam.ac.uk
Cambridge Magic Society, info@cambridgemagicsociety.com
Campus Children'S Holidays [Campus], campus@cusu.cam.ac.uk
Cambridge University Catholic Chaplaincy (Fisher House), chaplain@fisherhouse.org.uk
Christ'S College Christ'S College Music Society [Ccms], info@christsmusic.org.uk
Churchill Jazz Band [Chujazz], chujazzband@cusu.cam.ac.uk
Cambridge University Dance Society [Cuds], cambridgeunidancesociety@gmail.com
Cambridge University Diving Team [Cudt], divingteam@cusu.cam.ac.uk
Cambridge University Eco Racing [Cuer], PR@cuer.co.uk
The Cambridge Guild, president@thecambridgeguild.com
Cambridge University International Development [Cuid], president@cuid.org
University Of Cambridge Islamic Society [Cuisoc], cuiss-shura@lists.cam.ac.uk
Cambridge University Ladies' Netball Club [Culnc], captain@culnc.org
Cambridge Marxist Society [Marxsoc], marxdisgroup@cusu.cam.ac.uk
Cambridge University Mixed Martial Arts [Cumma], daf41@cam.ac.uk
Cambridge University Musical Theatre Society [Cumts], president@cumts.co.uk
Cambridge University Opera Society [Cuos], president.cuos@gmail.com
Cambridge University Photographic Society [Phocus], phocus@cusu.cam.ac.uk
Cambridge Rag [Rag], chairs@cambridgerag.org.uk
Cambridge University Recorder Ensemble [Cure], recorders@cusu.cam.ac.uk
Cambridge University Rugby Union Football Club For Women [Curufcw], klm78@cam.ac.uk
Cambridge University Spaceflight [Cusf], contact@cusf.co.uk
Student Minds Cambridge [Smc], studentmindscambridge@gmail.com
Trinity College Music Society [Tcms], secretary@committee.tcms.org.uk
Cambridge University Underwater Exploration Group: Scuba Divers [Cuueg], chairman@cuueg.org.uk
Cambridge University Whisky Appreciation Society [Cuwas], subscribers-join@srcf.net
Cambridge University Women In Banking And Finance Society [Cuwibf], wibf@cusu.cam.ac.uk
Cambridge University Women'S Boat Club [Cuwbc], president@cuwbc.org
Cambridge University Women'S Cricket Club [Cuwcc], cuwcc@cusu.cam.ac.uk
