Name, Email
Afghanistan Society, afgsociety@city.ac.uk
African Carribean Society (Acs), acs@city.ac.uk
Ahlulbayt Society, AhlulBayt@city.ac.uk
Albanian Society, albaniansoc@city.ac.uk
American Society, American@city.ac.uk
Amicus, amicus@city.ac.uk
Animal Law Society, animallaw@city.ac.uk
Anime Society, anime.society@city.ac.uk
Arab Society, Arab-Society@city.ac.uk
Art Society, art@city.ac.uk
Asset Management Society, studentsunion@city.ac.uk
Association Of Aspiring Corporate Lawyers, aacl@city.ac.uk
Association Of Student Renters, studentrentersassociation@city.ac.uk
Astronomy Society, astronomy@city.ac.uk
Bame Women Society, bamewomensociety@city.ac.uk
Bar And Mooting Society, thomas.spencer.2@city.ac.uk
Bengali Society, BengaliSociety@city.ac.uk
Bhangra Society, bhangrasoc@city.ac.uk
Blawg, blawg@city.ac.uk
Bollywood Dance Society, bollywood@city.ac.uk
Book Exchange Society, bookexchange@city.ac.uk
Brazilian Society, brazilian@city.ac.uk
British Red Cross Society, angelina.voronyuk@city.ac.uk
Bulgarian Society, BulgarianSoc@city.ac.uk
Business Management Society, bms@city.ac.uk
Canadian And American Law Society, cals@city.ac.uk
Carrot Magazine, carrot.magazine@gmail.com
Carrot Radio, carrotradio@city.ac.uk
Carrot Tv, carrottv@city.ac.uk
Catholic Society, Catholic-society@city.ac.uk
Chinese Society, ChineseSociety@city.ac.uk
Christian Union Society, culsucu@city.ac.uk
City Abacus, studentsunion@city.ac.uk
City Charity Club, charityclub@city.ac.uk
City Check Mate Society, checkmatesoc@city.ac.uk
City Cocktail Society, cocktailsociety@city.ac.uk
City Cricket Society, cricketsociety@city.ac.uk
Palestinian Society, palsoc@city.ac.uk
City Golf Society, golfsociety@city.ac.uk
Krishna Consciousness Society, studentsunion@city.ac.uk
City Muscle Club, muscleclub@city.ac.uk
City Readers, cityreaders@city.ac.uk
City Research Society, cityresearch@city.ac.uk
City Sociology Society, studentsunion@city.ac.uk
City Space Society, cityspace@city.ac.uk
City University Amnesty International, amnestygroup@city.ac.uk
City'S Actuarial Society, actuarial.society@city.ac.uk
Civil Engineering Society, civil.engineering@city.ac.uk
Computer And Games Society, candgsoc@city.ac.uk
Conservative Society, studentsunion@city.ac.uk
Consulting Society, ccs@city.ac.uk
Creative Writing Society, creativewriting@city.ac.uk
Criminal Justice Society, studentsunion@city.ac.uk
Criminology Society, studentsunion@city.ac.uk
Cyber Security Society, cybersecuritysoc@city.ac.uk
Dance Society, dancesoc@city.ac.uk
Data Science Society, DataScienceSoc@city.ac.uk
Debating Society, louis.sugunasabesan@cass.city.ac.uk
Drama Society, drama@city.ac.uk
East African Society, eastafrican@city.ac.uk
Eastern European Society, easterneuropeansociety@city.ac.uk
Economics Society, EconomicsSoc@city.ac.uk
Enactus Society, enactus@city.ac.uk
Engineering Society, studentsunion@city.ac.uk
Engineers Without Borders, engineerswithoutborders@city.ac.uk
Entrepreneurs Society, ghaffarikourosh8@gmail.com
Erasmus Student Network Society, esn.citylondon@gmail.com
Esports Society, esportssociety@city.ac.uk
Japan Society, studentsunion@city.ac.uk
Fashion Flare Society, fashionflare@city.ac.uk
Filipino Society, FilipinoSociety@city.ac.uk
Film Society, filmsociety@city.ac.uk
First Love Society, studentsunion@city.ac.uk
Food Lovers Society, foodlovers@city.ac.uk
French Society, french@city.ac.uk
Georgian Society, georgiansociety@city.ac.uk
Giddha Society, giddha@city.ac.uk
Gujarati Society, gujarati@city.ac.uk
Hellenic-Cypriot Society, Neoklis.Kouppis@city.ac.uk
Hindu Society, hindu@city.ac.uk
Hispanic Society, hispanic@city.ac.uk
History Society, sydney.radford@city.ac.uk
Indian Society, csuindiansoc@gmail.com
Indonesian Society, Indonesian.society@city.ac.uk
International Politics Society, internationalpolitics@city.ac.uk
International Student Society, internationsoc@city.ac.uk
Iraqi Society, iraqi@city.ac.uk
Islamic Finance And Ethics Society, studentsunion@city.ac.uk
Islamic Society, islam@city.ac.uk
Israeli Society, israelisociety@city.ac.uk
Italian Society, italian@city.ac.uk
Japan Society, studentsunion@city.ac.uk
Jewish Society, JSoc@city.ac.uk
Society Of Journalism, studentsunion@city.ac.uk
Justice And Peace Society, justiceandpeace@city.ac.uk
Kharis On Campus, kharisoncampus@gmail.com
Korean Society, sang.you.2@cass.city.ac.uk
Krishna Consciousness Society, krishna@city.ac.uk
Kurdish Society, kurdish@city.ac.uk
K Pop And K Drama Society, kwave@city.ac.uk
Law Society, lawsociety@city.ac.uk
Legal Awareness Society, citylasociety@gmail.com
Legal Journalism Society, Legaljournalismsociety@city.ac.uk
Legal Tech Society, legaltech@city.ac.uk
Lgbt Society, lgbt@city.ac.uk
Madinah Society, Madinahsociety@city.ac.uk
Malaysian Society, MalaysianSoc@city.ac.uk
Maritime Society, maritimesociety@city.ac.uk
Marxist Society, citymarxistsociety@gmail.com
Mathematics Society, studentsunion@city.ac.uk
Mauritian Society, mauritiansociety@city.ac.uk
Media And Communications Society, studentsunion@city.ac.uk
Medtech Society, medtech@city.ac.uk
Mental Health Society, mentalhealthsoc@city.ac.uk
Metaverse Society, themetaversesociety@city.ac.uk
Midnight Rave Society, midnightrave@city.ac.uk
Midwifery Society, midwiferysoc@city.ac.uk
Mock Trial And Debate Society, mocktrial@city.ac.uk
Model United Nations, citymodelunitednations1@outlook.com
Motorsport Society, motorsport@city.ac.uk
Mountaineering Club, mountaineering@city.ac.uk
Music Society, musicsociety@city.ac.uk
Nepalese Society, studentsunion@city.ac.uk
Networking Society, networking@city.ac.uk
Nursing Society, nursingsoc@city.ac.uk
Optometry Society, culsopsoc@city.ac.uk
Oxfam Society, oxfam@city.ac.uk
Pakistan Society, pakistansociety@city.ac.uk
Phd Society, PhDsociety@city.ac.uk
Philosophy Society, philosophysociety@city.ac.uk
Photography Society, photography.society@city.ac.uk
Polish Society, studentsunion@city.ac.uk
Politics Society, politics@city.ac.uk
Postgrad Network, studentsunion@city.ac.uk
Pro Bono Society, probonosociety@city.ac.uk
Psychology Society, studentsunion@city.ac.uk
Punjabi Society, punjabi@city.ac.uk
Reading And Writing Society (English Society), studentsunion@city.ac.uk
Relief Society, studentsunion@city.ac.uk
Robotics And Machine Intelligence Society, robotics@city.ac.uk
Romanian Society, Romanian@city.ac.uk
Russian Speakers Society, russian@city.ac.uk
Society, studentsunion@city.ac.uk
Shorinji Kempo, hello@citykempo.com
Sikh Society, sikhsociety@city.ac.uk
Singapore Society, singaporesociety@city.ac.uk
Ski Society, studentsunion@city.ac.uk
Social Mobility Society, studentsunion@city.ac.uk
Socialist Society, socialistsociety@city.ac.uk
Somali Society, somalisoc@city.ac.uk
Speech And Language Therapy Society, sltsoc@city.ac.uk
Spooki Society, studentsunion@city.ac.uk
Sports Society, studentsunion@city.ac.uk
Star Society, STAR-society@city.ac.uk
Stem Employability Society, stememployabilitysociety@city.ac.uk
Street Dance Society, streetdance@city.ac.uk
Sustainability Society, citysustainability@city.ac.uk
Tamil Society, Tamil@city.ac.uk
The 93% Club City, 93clubcity@gmail.com
The Environmental Society, climatechangesociety@city.ac.uk
The Forum, studentsunion@city.ac.uk
Trading And Investment Society, tais@city.ac.uk
Try New Things Club, studentsunion@city.ac.uk
Turkish Society, deniz.ozturk.2@city.ac.uk
Ukrainian Society, ukrainiansociety@city.ac.uk
Venture Capital Society, venturecapitalsociety@city.ac.uk
Vietnamese Society, vietsoc.city@gmail.com
Wealth Management Society, Wealth@city.ac.uk
Wolfpack Society, studentsunion@city.ac.uk
Women In Law Society, Womeninlaw@city.ac.uk
Women Leaders Of Future, studentsunion@city.ac.uk
World Peace And Amity Society, worldpeace@city.ac.uk
