Name, Email
Accounting And Finance, infooffice.su@coventry.ac.uk
Acoustic Music Society, acousticmusic.su@coventry.ac.uk
Adventist Students On Campus, Christianadventist.su@uni.coventry.ac.uk
Advertising And Marketing, infooffice.su@coventry.ac.uk
Aerospace Society, aerospace.su@uni.coventry.ac.uk
Afghan Society Cu, Afghan.su@uni.coventry.ac.uk
African Caribbean, acsociety.su@uni.coventry.ac.uk
African Students, infooffice.su@coventry.ac.uk
Ahlulbayt, Ahlulbayt.su@uni.coventry.ac.uk
Airsoft, airsoft.su@uni.coventry.ac.uk
Albanian, Albanian.su@uni.coventry.ac.uk
Algerian Society, infooffice.su@coventry.ac.uk
Alternative And Indie Music, societies.su@coventry.ac.uk
Amnesty International, infooffice.su@coventry.ac.uk
Anime And Manga, animeandmanga.su@uni.coventry.ac.uk
Architecture Society, infooffice.su@coventry.ac.uk
Art Society, artsociety.su@uni.coventry.ac.uk
Automotive, automotive.su@uni.coventry.ac.uk
Aviation Society, aviation.su@uni.coventry.ac.uk
Bahraini Students Society, infooffice.su@coventry.ac.uk
Baking, infooffice.su@coventry.ac.uk
Ballet And Stage Dance Society, balletanddance.su@uni.coventry.ac.uk
Believers Loveworld Society, infooffice.su@coventry.ac.uk
Bethel Student Society, infooffice.su@coventry.ac.uk
Bhangra Society, bhangra.su@uni.coventry.ac.uk
Bioscience Society, infooffice.su@coventry.ac.uk
Bollywood, societies.su@coventry.ac.uk
Book Club, infooffice.su@coventry.ac.uk
British Red Cross On Campus Society, infooffice.su@coventry.ac.uk
Bulgarian, bulgarian.su@uni.coventry.ac.uk
Business, infooffice.su@coventry.ac.uk
Chemistry Society, infooffice.su@coventry.ac.uk
Chess, infooffice.su@coventry.ac.uk
Chinese, infooffice.su@coventry.ac.uk
Christian Union, covcu.su@uni.coventry.ac.uk
Civil Engineering, civilengineering.su@uni.coventry.ac.uk
Commercial Awareness, infooffice.su@coventry.ac.uk
Commonwealth Independent States, infooffice.su@coventry.ac.uk
Conservative, infooffice.su@coventry.ac.uk
Consulting Society, infooffice.su@coventry.ac.uk
Cooking, Cookingsoc.su@uni.coventry.ac.uk
Coventry Bengali Society, Bengali.su@uni.coventry.ac.uk
Coventry University Flying Club, infooffice.su@coventry.ac.uk
Covwords Magazine Society, infooffice.su@coventry.ac.uk
Creative Writing, infooffice.su@coventry.ac.uk
Criminology, criminology.su@uni.coventry.ac.uk
Croatian Society, infooffice.su@coventry.ac.uk
Czecho-Slovakian Society, infooffice.su@coventry.ac.uk
Dc Inspire, dcinspire.su@uni.coventry.ac.uk
Debating, debating.su@uni.coventry.ac.uk
Deeper Life Campus, deeperlifecampus.su@uni.coventry.ac.uk
Design Society, infooffice.su@coventry.ac.uk
Dj Mc And Producer Society, infooffice.su@coventry.ac.uk
Dominion City, dominioncity.su@uni.coventry.ac.uk
Drc Drone Enthusiasts Society, drcdrone.su@uni.coventry.ac.uk
East African Society, eastafrica.su@uni.coventry.ac.uk
Economics, infooffice.su@coventry.ac.uk
Egyptian Society, infooffice.su@coventry.ac.uk
Eliminating Domestic Violence, infooffice.su@coventry.ac.uk
Elsa, ELSA.su@uni.coventry.ac.uk
Employability And Networking, getemployed.su@uni.coventry.ac.uk
Enactus Coventry, enactuscoventry.su@uni.coventry.ac.uk
Engineering Consulting, infooffice.su@coventry.ac.uk
English Language, infooffice.su@coventry.ac.uk
Enterprise Society, infooffice.su@coventry.ac.uk
Esn Coventry, erasmussociety@uni.coventry.ac.uk
Fashion Society, infooffice.su@coventry.ac.uk
Filipino Society, infooffice.su@coventry.ac.uk
Financial Trading Society, infooffice.su@coventry.ac.uk
First Love Coventry, infooffice.su@coventry.ac.uk
Forensic, forensic.su@coventry.ac.uk
French Society, infooffice.su@coventry.ac.uk
Friendly Faces, infooffice.su@coventry.ac.uk
Friends With Helping Hands, infooffice.su@coventry.ac.uk
Game Design And Development, gamedesignanddevelopment@uni.coventry.ac.uk
Gaming, gaming.su@uni.coventry.ac.uk
Geeks, geeks.su@uni.coventry.ac.uk
Gender Equality, infooffice.su@coventry.ac.uk
Geography, geography.su@uni.coventry.ac.uk
Ghanaian Society, infooffice.su@coventry.ac.uk
Gospel Rhythms, infooffice.su@coventry.ac.uk
Greek And Cypriot, infooffice.su@coventry.ac.uk
Guide Dogs, infooffice.su@coventry.ac.uk
Hackathon Society, hackathon.su@uni.coventry.ac.uk
Hema Society, infooffice.su@coventry.ac.uk
Hindu, hindu.su@uni.coventry.ac.uk
Hong Kong, infooffice.su@coventry.ac.uk
Humanities Society, infooffice.su@coventry.ac.uk
Illustration, illustration.su@uni.coventry.ac.uk
Indian, infooffice.su@coventry.ac.uk
Indonesian, indonesian.su@uni.coventry.ac.uk
International Business Management, Internationalbusinessmanagement.su@uni.coventry.ac.uk
International Disaster Concern, idc.su@uni.coventry.ac.uk
Investment, investment.su@uni.coventry.ac.uk
Islamic, islamic.su@uni.coventry.ac.uk
Jam Society, JAMsociety.su@uni.coventry.ac.uk
Japan Society, japanese.su@uni.coventry.ac.uk
Jewish, jewish.su@uni.coventry.ac.uk
Jubilee Christian Centre Society, jubileechristiancentre.su@uni.coventry.ac.uk
Kazakh, societies.su@uni.coventry.ac.uk
Korean, koreansoc.su@uni.coventry.ac.uk
Kpop Dance Society, kpopdance.su@uni.coventry.ac.uk
Krishna Consciousness, Krishnaconsciousness.su@uni.coventry.ac.uk
Latin American, latinamerican.su@uni.coventry.ac.uk
Law, law.su@uni.coventry.ac.uk
League Of Legends Society, leagueoflegends.su@uni.coventry.ac.uk
Lebanese Society, Lebanese.su@uni.coventry.ac.uk
Lgbtqia+, lgbt.su@uni.coventry.ac.uk
Links, links.su@uni.coventry.ac.uk
Lithuanian Society, lithuaniansociety.su@uni.coventry.ac.uk
Magic Society, magic.su@uni.coventry.ac.uk
Malaysian-Singaporean Society, malaysian.su@uni.coventry.ac.uk
Management Society, management.su@uni.coventry.ac.uk
Marrow, marrow.su@coventry.ac.uk
Maths, mathssociety.su@uni.coventry.ac.uk
Mba Society, MBAsociety.su@uni.coventry.ac.uk
Mechanical Engineering, mecheng.su@uni.coventry.ac.uk
Medical Pharmalogical, medpharm.su@uni.coventry.ac.uk
Medpharm, medpharm.su@uni.coventry.ac.uk
Midwifery, midwifery.su@uni.coventry.ac.uk
Movie Club, movieclub.su@uni.coventry.ac.uk
Msf - Doctors Without Borders, MSF.su@uni.coventry.ac.uk
Musical Theatre, musicaltheatre.su@uni.coventry.ac.uk
Nepalese Society, nepalese.su@uni.coventry.ac.uk
News And Discuss, news.su@uni.coventry.ac.uk
Nigerian, nigerian.su@uni.coventry.ac.uk
Nintendo Society, nintendo.su@uni.coventry.ac.uk
Nursing Society, nursing.su@uni.coventry.ac.uk
Nutrition Food And Health Society, Nutritionfoodhealthsoc.su@coventry.ac.uk
Occupational Therapy, occupationaltherapy.su@uni.coventry.ac.uk
Omani, omani.su@uni.coventry.ac.uk
One Gospel Christian Fellowship, onesgospel.su@uni.coventry.ac.uk
One World Society, oneworld.su@uni.coventry.ac.uk
Pakistani, pakistani.su@uni.coventry.ac.uk
Palestinian, Palestinian.su@uni.coventry.ac.uk
Paramedic, paramedic.su@uni.coventry.ac.uk
Pentecostal Students And Associates, pensa.su@uni.coventry.ac.uk
Persian Society, persia.su@uni.coventry.ac.uk
Philosophy Society, infooffice.su@coventry.ac.uk
Photo Club Society, Photoclubsociety.su@uni.coventry.ac.uk
Physiotherapy, physiotherapy.su@uni.coventry.ac.uk
Pole Fitness Society, polefitness.su@uni.coventry.ac.uk
Polish Society, polish.su@uni.coventry.ac.uk
Politics Society, politics.su@uni.coventry.ac.uk
Portuguese Society, Portuguese.su@uni.coventry.ac.uk
Postgraduate Research, postgrad.su@uni.coventry.ac.uk
Psychology, psychology.su@uni.coventry.ac.uk
Punjabi Society, punjabi.su@uni.coventry.ac.uk
Qatari, societies.su@uni.coventry.ac.uk
Quickfeet Dance School, quickfeetdance.su@uni.coventry.ac.uk
Raising And Giving, raisingandgiving.su@uni.coventry.ac.uk
Reggaeton And Hip Hop, reggaeton.su@uni.coventry.ac.uk
Rock Music, rockmusic.cu@coventry.ac.uk
Romanian, romanian.su@uni.coventry.ac.uk
Rotaract Society, rotaract.su@uni.coventry.ac.uk
Russian Speaking, russianspeaking.su@uni.coventry.ac.uk
Salsa, salsa.su@uni.coventry.ac.uk
Saudi, saudi.su@uni.coventry.ac.uk
Sikh Society, Sikhsociety.su@uni.coventry.ac.uk
Socialist Students, socialist.su@uni.coventry.ac.uk
Somali Society, covsomsoc@outlook.com
Sport Exercise Therapy Sciences Society, setss.su@uni.coventry.ac.uk
Sri Lankan Society, srilankan.su@uni.coventry.ac.uk
Stay Steppin', staysteppin.su@uni.coventry.ac.uk
Student Action For Refugees (Star), star.su@uni.coventry.ac.uk
Student Media Society, studentmedia.su@coventry.ac.uk
Supply Chain And Logistics, Supplychainlogistics.su@uni.coventry.ac.uk
Taiwanese Society, taiwanesestudents.su@uni.coventry.ac.uk
Tamil, tamilsociety.su@uni.coventry.ac.uk
Technical Architecture, technicalarchitecture.su@uni.coventry.ac.uk
Treasure House Society, treasurehouse.su@coventry.ac.uk
Turkish, turkish.su@uni.coventry.ac.uk
United Nations, unitednations.su@uni.coventry.ac.uk
Vegetarian And Vegan Society, veg.su@uni.coventry.ac.uk
Vehicle And Transport Design Society, vehicleandtransportdesign.su@coventry.ac.uk
Voices, Voicessoc.su@uni.coventry.ac.uk
Warhammer Minatures And Table-Top Gaming Society Society (Wmt), warhammer.su@uni.coventry.ac.uk
West Indies Society, westindies.su@uni.coventry.ac.uk
Whatnext? Coventry, whatnextcoventry.su@uni.coventry.ac.uk
Windband, windband.su@uni.coventry.ac.uk
Women In Design, Womenindesign.su@uni.coventry.ac.uk
Women In Engineering, womeninengineering.su@uni.coventry.ac.uk
