Name, Email
Societies, socsportadmin@nottingham.ac.uk
A Cappella, uonacappella@gmail.com
Abacus, abacus@nottingham.ac.uk
Advocate Magazine, uonadvocate@gmail.com
Aerosoc, aerosoc@notttingham.ac.uk
Afghan Society, leybi@nottingham.ac.uk
African And Caribbean Society, nottsacs@hotmail.com
Ahlulbayt Society, absoc@nottingham.ac.uk
High Society, highsoc10@gmail.com
American Society, nottsamericansoc@gmail.com
Amnesty, amnestynottsuni@gmail.com
Animal Rights, animalrightssocuon@gmail.com
Anime Society, committee@sffasoc.co.uk
Antimicrobial Resistance Society, uonamrsoc@gmail.com
Stop The Traffik Society, antislaverysocietyuon@gmail.com
Arabic, ArabSoc.UoN@hotmail.com
Archaeology, uonarchsoc@gmail.com
Architectural Environmental Engineering, socsportadmin@nottingham.ac.uk
Art History, arthistorysoc@nottingham.ac.uk
Asian Society, nottinghamasoc.president@gmail.com
Ask! Atheists And Skeptics Society, ask.uon@gmail.com
Bandsoc, uonbandsoc@gmail.com
Bellringing, master@nuscr.org
Belly Dance Society, bellydance.soc@gmail.com
Bangladesh, nottsbsoc@gmail.com
Bharatanatyam And Kathak Society, nottinghambks@gmail.com
Biochemistry Society, uonbiochemsoc@gmail.com
Biology, nottinghambiosoc@gmail.com
Biotechsoc, biotech.notts@gmail.com
Bladesoc, bladesoc@nottingham.ac.uk
Blowsoc, info@blowsoc.com
Board Game Society, UoNBoardGameSoc@gmail.com
Book Club, uonbookclub@gmail.com
Brazilian And Portuguese Cultural Society, ajyrf@nottingham.ac.uk
British Red Cross Society, britishredcrosssociety19@gmail.com
Brunotts Society, contactbrunotts@gmail.com
Buddhist Society, styfw3@nottingham.ac.uk
Business Management Leadership Society, uonbml@gmail.com
Cake Soc, cakesoc@hotmail.com
Calisthenics Society, uon.calsoc@gmail.com
Cancer Research Society, mbycdt@nottingham.ac.uk
Catholic, catholic@nottingham.ac.uk
Chemical And Environmental Engineering, chemenvsoc@nottingham.ac.uk
Chemsoc, Nottschemsoc@gmail.com
Chess, suChess@Nottingham.ac.uk
Chilean Society, chileansocietynottingham@gmail.com
University Of Nottingham Chinese Students Society, uncss1718@gmail.com
Christian Union, secretary@nucu.org
Civil Engineering, uoncivsoc@outlook.com
Classoc, classoc@nottingham.ac.uk
Flairsoc, uonflairsoc@gmail.com
Comedy Society, uoncomedysociety@gmail.com
Commercial Awareness, NCAS@nottingham.ac.uk
Comp Soc, psyks10@nottingham.ac.uk
Conservation Society, consoccommittee@gmail.com
Conservatives, ldytjp@nottingham.ac.uk
Contemporary China Society, OS-uonccs@nottingham.ac.uk
Creative Writing, uoncreativewriting@gmail.com
Chinese Students And Scholars Association Cssa, cssa.nott.info@gmail.com
Culture Film And Media (Cfm Soc), cfmsoc4ever@gmail.com
Current Affairs Society, casoc@nottingham.ac.uk
Dark Celluloid, darkcelluloid@gmail.com
Darts, aayjsh@nottingham.ac.uk
Debating Union, nottingham.debate@gmail.com
Design Society, SUDesignSoc@nottingham.ac.uk
Dogsoc, dogsoc@nottingham.ac.uk
East African Society, nottseasoc@gmail.com
Economics And Finance, gkehily@nefs.org.uk
Egyptian Society, egysoc.uon@outlook.com
Shock Soc, os-shocksoc@exmail.nottingham.ac.uk
Emerging Markets Society, nottingham.emergingmarkets@gmail.com
Engineers Without Borders - Nottingham, ewb@nottingham.ac.uk
English, aeynm4@nottingham.ac.uk
European Law Students' Association (Elsa) Nottingham, elsanottingham@outlook.com
European Union Society, alyjz1@nottingham.ac.uk
Extinction Rebellion, xr.uniofnotts@gmail.com
Fashion Society, sufashion@nottingham.ac.uk
Uon Feminists, uonfeminists@gmail.com
Fep Soc (Foundation Engineering And Physical Sciences), fepsoc@gmail.com
Filipino Society, filipinosoc@nottingham.ac.uk
Fintech, liyabha@nottingham.ac.uk
First Aid Society, gensec.fasoc@gmail.com
First Love Uon, firstlove@nottingham.acuk
Folk Soc, eaypaa@nottingham.ac.uk
French And German Society, F&amp;GSoc@nottingham.ac.uk
Gamesoc, gamesocnotts@outlook.com
Geography, lgyvj1@nottingham.ac.uk
German Culture Society, germanculture@nottingham.ac.uk
Ghanaian Students Society (Nugss), ghananugss@gmail.com
