Name, Email
Hakkımızda, info@tedu.edu.tr
Doğa Sporları Topluluğu, oss@tedu.edu.tr
Logos Topluluğu, logos@tedu.edu.tr
Mimarlık Ve Tasarım Topluluğu, ads@tedu.edu.tr
Müzik Topluluğu, music@tedu.edu.tr
Tiyatro Topluluğu, heatre@tedu.edu.tr
Uluslararası Öğrenciler Topluluğu, iss@tedu.edu.tr
Espor Topluluğu, esports@tedu.edu.tr
Atatürkçü Düşünce Topluluğu, ats@tedu.edu.tr
Bilim Ve Teknoloji Topluluğu, sts@tedu.edu.tr
Dans Ve Müzikal Topluluğu, dms@tedu.edu.tr
Eduaction Topluluğu, eduaction@tedu.edu.tr
Ekonomi Ve Finans Topluluğu, efs@tedu.edu.tr
Fotoğrafçılık Topluluğu, photography@tedu.edu.tr
Gastronomi Topluluğu, gastronomy@tedu.edu.tr
Girişimcilik Ve İNovasyon Topluluğu, eis@tedu.edu.tr
Hayvan Dostları Topluluğu, afs@tedu.edu.tr
Kaizen Topluluğu, kaizen@tedu.edu.tr
Kültür Sanat Topluluğu, acs@tedu.edu.tr
Maths-Up Topluluğu, mathsup@tedu.edu.tr
Medya Topluluğu, media@tedu.edu.tr
Politika Platformu, pop@tedu.edu.tr
Psikoloji Topluluğu, psy@tedu.edu.tr
Sinema Topluluğu, cinema@tedu.edu.tr
Tarih Topluluğu, history@tedu.edu.tr
İHtiyaç Haritası Topluluğu, needsmap@tedu.edu.tr
Alected, info@tedu.edu.tr
Haberler, info@tedu.edu.tr
Duyurular, info@tedu.edu.tr
Etkinlikler, info@tedu.edu.tr
İLetişim, dcan.aslan@tedu.edu.tr
Formlar Ve Yönergeler, info@tedu.edu.tr
