Name, Email
A.C.E (Anime Cosplay Entertainment), uusuace@gmail.com
Acs, uusuafricancaribbeansoc@gmail.com
Acute And Critical Care Medicine Society, ulsteraccs@gmail.com
African Caribbean Society Belfast, societies@uusu.org
Alliance, youth@allianceparty.org
Allied Health, societies@uusu.org
Animation, animationsociety@outlook.com
Apprenticeship Society, uusuapprenticeshipsociety@gmail.com
Arc Soc, info@uusu.org
Baking Society, UUSUbakingsociety@gmail.com
Belfast Dance Society, BelfastDanceSociety@outlook.com
Belfast Games Design Society, uusu.gamesdesignsociety@gmail.com
Belfast Music Society, info@uusu.org
Belfast Orange Society, uuorangesociety@gmail.com
Belfast Real Estate, info@uusu.org
Belfast School Of Art Society, societies@uusu.org
Belfast Unicycle Society, oneunicycleulsteruniversity@gmail.com
Biosoc Uu, Biosocc@gmail.com
Built Environment Society, societies@uusu.org
Business Society, uubusiness@yahoo.com
Cass, uusucass@outlook.com
Child Health Society, uuchildhealthsociety@gmail.com
Christian Union - Belfast, uubelfastcu@gmail.com
Christian Union - Coleraine, info@uusu.org
Christian Union - Magee, uumageecu@gmail.com
Civil Engineering, polikowska-i@ulster.ac.uk
Climate Society, uuclimatesociety@outlook.com
Closer (Care Leavers Offering Support For Each Other), societies@uusu.org
Cocktails And Mocktails, info@uusu.org
Coleraine Lgbt+, lgbtcoleraine@mail.com
Communication Society, societies@uusu.org
Computing Society Uu, computingsocietyuuj@gmail.com
Consulting Society, UUConsultingSociety@gmail.com
Core, uumageecore@gmail.com
Craft And Chat Society, uusucraftsndchat@gmail.com
Criminology Society, societies@uusu.org
Cumann Gaelach Belfast, societies@uusu.org
Cumann Gaelach Magee, info@uusu.org
Debating Society, uusudebatesociety@outlook.com
Doctoral Society - Magee, uusumageedoctoralsociety@outlook.com
Doctoral Society Coleraine, Gordon-S20@ulster.ac.uk
Drama Society Magee, societies@uusu.org
Dungeons And Dragons, uusudnd@gmail.com
Ecis Society, ecissociety@gmail.com
English And Poetry, englishandpoetryuuc@outlook.com
E-Sports, uusuesportssociety@gmail.com
Fashion And Textiles, uusufashion@gmail.com
Fianna Fail, info@uusu.org
Film Makers Society, mageefilmmakerssociety@outlook.com
Film Society, filmsocietyuub@gmail.com
Freya, uusu_freya@outlook.com
Geography And Environmental Sciences, uusu.GES.society@gmail.com
Glitch, uusuglitchsociety@gmail.com
Global Business Society, uumglobalbusinesssociety@gmail.com
Globetrotters Magee, societies@uusu.org
Heat, societies@uusu.org
History, UUCHistorySociety@outlook.com
Hospitality And Tourism Management Society, societies@uusu.org
Illustration, uubillusoc@gmail.com
Irish Dancing, uusuirishdance@gmail.com
Irish Trad Magee, uumtradsoc@gmail.com
Irish Traditional Music (Coleraine), uusutradsociety@gmail.com
Islamic Society, uu-prayer-room@googlegroups.com
Isoc, uucisoc@gmail.com
Law Society Belfast, uujlawsociety@gmail.com
Law Society Magee, ulsterlawsocietymagee@gmail.com
Legal Commercial Awareness, info@uusu.org
Lgbt - Magee, lgbtmagee@gmail.com
Lgbtqia+ Belfast Society, lgbtqiabelfast@gmail.com
Link Gaming Belfast, uusulinkgaming@gmail.com
Magee Islamic Society, MageeIslamicSociety@gmail.com
Magee Music And Sound Technology Society, mst.society.uu@gmail.com
Magee Orthopaedic, ortho.uum@gmail.com
Magee Women In Stem, womeninstem00@gmail.com
Management And Leadership Society, societies@uusu.org
Marketing, fegan-m8@ulster.ac.uk
Mature Students Belfast, maturestudentsocietyuuj@gmail.com
Mature Students Coleraine, info@uusu.org
Medsoc, UUmedsoc@outlook.com
Mindfulness Belfast, societies@uusu.org
Musical Theatre, uusumusicaltheatre@gmail.com
Officers' Training Corps, info@uusu.org
Ógra Shinn Féin Belfast, info@uusu.org
One World, uusuoneworld@gmail.com
Optometry, info@uusu.org
Orange Society Coleraine, orangesocietycoleraine@gmail.com
Pandora'S Book Box Coleraine, Pandoras.book.box@gmail.com
Pathology, uupathsoc@gmail.com
Personalised Medicine, uusupermedsoc@gmail.com
Pharmacy Society, uupharmacysociety@gmail.com
Philosophy Society, uuphilsoc@gmail.com
Photography Society Belfast, info@uusu.org
Politics, info@uusu.org
Pro-Choice, uuprochoice@gmail.com
Procraftination, uusuprocraftination@gmail.com
Psychology, uucpsychologysociety@gmail.com
Radiography, radiographysociety1@gmail.com
Radiology, info@uusu.org
Roll For Initiative, societies@uusu.org
School Of Nursing Society, uunursingsociety@gmail.com
School Of Sport Society, societies@uusu.org
Scout Network, uunetwork@outlook.com
Sdlp Belfast, societies@uusu.org
Small Business Society, uusu.smallbusinesssociety@gmail.com
Snow Sports Society, ulsterunisnowsports@gmail.com
Social Studies Society, socialstudiessociety.uu@gmail.com
Socialist Society, ulstersocialistsociety@gmail.com
Sociology, bradley-c63@ulster.ac.uk
St John Ambulance Links Coleraine, info@uusu.org
Standing Up For Social Work, uususocialwork@gmail.com
Stew, societies@uusu.org
Surgical Society, uusurgicalsociety@gmail.com
Teaching Society, societies@uusu.org
Trade And Investment Club, info@uusu.org
Universities Air Squadron, uusuairsquadron@gmail.com
Uplan, uplansociety@outlook.com
Urban Dance, societies@uusu.org
Urnu (Royal Navy Unit), info@uusu.org
Usse- Society Of Student Engineers, devenney-c13@ulster.ac.uk
Uu Dramatics, uudramaticsulster@gmail.com
Uusu Chess Club, uusuchessclub@outlook.com
Uusu Dermatology Society, dermsoc1@gmail.com
Uusu Gp Society, uusugpsociety@gmail.com
Uusu Journalism And Media Society (Underscore), info@uusu.org
Uusu Mindfulness, mindfulness_c@outlook.com
Uusu Music Society, musicsocietyuusu212@gmail.com
Uusu No Soc (Neurology And Ophthalmology Society), nosocuu@gmail.com
Uusu Obgum Society, info@uusu.org
Uusu Paramedicine Society, info@uusu.org
Uusu Skateboarding, tranter-g@ulster.ac.uk
Uusu South Asian Society Belfast, uu.sasa@outlook.com
Ux Society, info@uusu.org
Wellbeing Garden, uusu.garden@gmail.com
Women In Stem Society Belfast, womeninstemuu@gmail.com
Writing Society, societies@uusu.org
Youth Work Society, societies@uusu.org
