Name, Email
180 Degrees Consulting Society, recruitment.kcl@180dc.org
Action Palestine Society, kclactionpalestine@googlemail.com
Afghan Welfare Society, afghanwelfaresociety@outlook.com
African And Caribbean Society, Kcl_acs@hotmail.com
African Caribbean Medical Association Society, ACMAatKCL@gmail.com
Ahlul Bayt Society, kclabsoc1@gmail.com
Ahmadiyya Muslim Student'S Association Society, kings.amsa@outlook.com
Aid For Migrants Society, aidformigrants.kcl@gmail.com
Aiesec Kcl Society, kcl@aiesec.co.uk
Albanian Society, kclalbaniansoc@outlook.com
Amnesty International Society, amnestykcl@gmail.com
Anaesthetics And Intensive Care Society, kclanaesthetics@gmail.com
Anatomy Society, kclanatomy@gmail.com
Animal Rights Society, kclanimalrights@gmail.com
Anime & Manga Society, kclanimangasoc@gmail.com
Arab Society, kingsarabsoc@gmail.com
'NoneType' object is not subscriptable
Armenian Society, kclarmsoc@gmail.com
'NoneType' object is not subscriptable
Art Society, kclartsociety@gmail.com
Articaine Society, Articaine.KCL@gmail.com
Artificial Intelligence Society, kclaisociety@gmail.com
Asean (Association Of Southeast Asian Nations) Society, kclaseansociety@gmail.com
Asian Medical Students Association (Amsa) Society, uk.amsa@gmail.com
Association Of British And Chinese University Students (Abacus) Society, kingsabacus@gmail.com
Australasian Society, kclaustralasiansociety@gmail.com
Austrian Society, austriansocietyKCL@gmail.com
Azerbaijan Society, kcl.azerbaijan.society@outlook.com
Baking Society, kclbakingsociety@gmail.com
Bame In The City Society, bameinthecity@gmail.com
Bangladesh Society, kclbds@gmail.com
Beauty Society, kclbeautysoc@gmail.com
Belgian Society, kclbelgiansociety@hotmail.com
Biochemistry Society, kclbiochemistrysociety@gmail.com
Biomedical Sciences Society, kclbiomedsociety@gmail.com
Bioscience Students' Association Society, BSA@kcl.ac.uk
'NoneType' object is not subscriptable
Bollywood Society, kclbollywoodsociety@gmail.com
Book Club: A Thousand Splendid Crumbs Society, bookclubkcl@gmail.com
Brazilian Society, kclbraziliansociety@gmail.com
Breakin' Kcl Society, breakin.kcl@gmail.com
British Sign Language Society, kclbslsociety@gmail.com
Bulgarian Society, bulgarian.society.kcl@gmail.com
Canadian And American Society, kclcanam@gmail.com
Cardiovascular Society, info@kclcardiosoc.org
Catholic Society, kclcatholicsociety@gmail.com
Charity Diwali Show Society, kcldiwalishow@outlook.com
Chemistry Society, kclchemsociety@gmail.com
Chess Society, siting.gu@kcl.ac.uk
Chinese Society, kclcs17@gmail.com
Chinese Students And Scholars Association King'S (Cssa King'S) Society, kclcssa@outlook.com
Christian Medical Fellowship Society, kclchristianmedicalfellowship@gmail.com
Christian Union (Guy'S) Society, Cucommittee@gmail.com
Christian Union (Strand) Society, kingscu@gmail.com
Classics Society, adam.thain@kcl.ac.uk
Clinical Specialities Society, clinicalspecialtiessociety@gmail.com
Comedy Society, kclcomedysociety@gmail.com
Conservative Association Society, kclconservativesociety@gmail.com
Consulting & Financial Advisory Society, contactus@kingscfa.co.uk
Creative Writing Society, kclcreative@gmail.com
'NoneType' object is not subscriptable
Czech And Slovak Society, KCLczechandslovak@gmail.com
Dance Society, contact@kcldancesoc.co.uk
Data Science Society, kclDataScience@gmail.com
'NoneType' object is not subscriptable
Decolonise Kcl Society, decolonisekcl@gmail.com
Dermatology Society, kcldermatologysociety@gmail.com
Dhol Society, kingsdholacademy@hotmail.com
Disability Awareness Society, kcl.disability@gmail.com
Diverse Lawyers Society, diverselawyerssoc@gmail.com
